country,agland_00
Afghanistan,37753
Albania,1144
Algeria,40021
American Samoa,4.8
Andorra,23
Angola,46961.39
Antigua and Barbuda,9
Argentina,128510
Armenia,1323
Aruba,2
Australia,455469
Austria,2940.2
Azerbaijan,4740.4
Bahamas,13
Bahrain,9.2
Bangladesh,9400
Barbados,18
Belarus,9252
Belgium,1389.6
Belize,149
Benin,3195
Bermuda,0.4
Bhutan,530
Bolivia (Plurinational State of),37143
Bosnia and Herzegovina,2130
Botswana,25951
Brazil,228323.5
British Virgin Islands,7
Brunei Darussalam,10
Bulgaria,5582
Burkina Faso,9770
Burundi,1867
Cabo Verde,71
Cambodia,4770
Cameroon,9160
Canada,61287
Cayman Islands,2.7
Central African Republic,5149
Chad,48630
Channel Islands,7.9
Chile,15110
China,523731
"China, Hong Kong SAR",7
"China, mainland",522873
"China, Taiwan Province of",851
Colombia,44859
Comoros,133
Congo,10540
Cook Islands,4.8
Costa Rica,1840
Côte d'Ivoire,19600
Croatia,1169
Cuba,6554
Cyprus,141.5
Czechia,4280
Democratic People's Republic of Korea,2550
Democratic Republic of the Congo,25600
Denmark,2647
Djibouti,1601
Dominica,21
Dominican Republic,2515
Ecuador,8066
Egypt,3291
El Salvador,1398.12
Equatorial Guinea,334
Eritrea,7530
Estonia,986
Eswatini,1223
Ethiopia,30662
Falkland Islands (Malvinas),1131.2
Faroe Islands,3
Fiji,428
Finland,2218
France,29807.4
French Guyana,23
French Polynesia,43
Gabon,2067
Gambia,552
Georgia,3000
Germany,17068
Ghana,13905.39
Greece,8529
Greenland,239.8
Grenada,12
Guadeloupe,49
Guam,20
Guatemala,4465
Guinea,13489
Guinea-Bissau,663.12
Guyana,1120.78
Haiti,1690
Honduras,2935
Hungary,5854
Iceland,1889
India,180975
Indonesia,47177
Iran (Islamic Republic of),62884
Iraq,8300
Ireland,4412
Isle of Man,43.8
Israel,566
Italy,15637
Jamaica,479
Japan,5258
Jordan,1069
Kazakhstan,215393.3
Kenya,26671
Kiribati,34
Kuwait,148
Kyrgyzstan,10714
Lao People's Democratic Republic,1806
Latvia,1588
Lebanon,595
Lesotho,2334
Liberia,1409.36
Libya,15450
Liechtenstein,7
Lithuania,3418
Luxembourg,128
Madagascar,40500
Malawi,4730
Malaysia,6938.7
Maldives,9
Mali,38600
Malta,9
Marshall Islands,12
Martinique,33
Mauritania,39750
Mauritius,101
Mayotte,20.02
Mexico,106330
Micronesia (Federated States of),22.5
Mongolia,130470
Montserrat,3
Morocco,30652
Mozambique,37450
Myanmar,10812
Namibia,38820
Nauru,0.4
Nepal,4249.1
Netherlands,1956
Netherlands Antilles (former),8
New Caledonia,245
New Zealand,15413
Nicaragua,5141
Niger,37000
Nigeria,66183.96
Niue,4.8
Norfolk Island,1
North Macedonia,1235
Northern Mariana Islands,3
Norway,1042
Oman,1173
Pakistan,36698
Palau,4.3
Palestine,499
Panama,2230
Papua New Guinea,1005
Paraguay,16738.35
Peru,23124
Philippines,11234
Poland,18413
Portugal,3956.38
Puerto Rico,247.2
Qatar,66
Republic of Korea,1973
Republic of Moldova,2544
Réunion,50
Romania,14857
Russian Federation,217162
Rwanda,1670
"Saint Helena, Ascension and Tristan da Cunha",12
Saint Kitts and Nevis,9.5
Saint Lucia,14.2
Saint Pierre and Miquelon,3
Saint Vincent and the Grenadines,7
Samoa,48
San Marino,1
Sao Tome and Principe,49
Saudi Arabia,173785
Senegal,9027
Serbia and Montenegro,5587
Seychelles,4
Sierra Leone,2810
Singapore,1.2
Slovakia,2440
Slovenia,518
Solomon Islands,76
Somalia,44067
South Africa,98125
Spain,29766
Sri Lanka,2350
Sudan (former),131575
Suriname,88
Sweden,3153
Switzerland,1566
Syrian Arab Republic,13711
Tajikistan,4573
Thailand,19834
Timor-Leste,337
Togo,3630
Tokelau,0.6
Tonga,30
Trinidad and Tobago,67
Tunisia,9551
Turkey,40479
Turkmenistan,35500
Turks and Caicos Islands,1
Tuvalu,2
Uganda,12512
Ukraine,41406
United Arab Emirates,547
United Kingdom of Great Britain and Northern Ireland,16964
United Republic of Tanzania,34000
United States of America,414399
United States Virgin Islands,7
Uruguay,14958
Uzbekistan,27328
Vanuatu,175
Venezuela (Bolivarian Republic of),21635
Viet Nam,8780
Wallis and Futuna Islands,6
Western Sahara,5005
Yemen,23669
Zambia,22498
Zimbabwe,15060