Country Code,1990,2000,2010,2017,2018
ABW,2.249,1.872,1.768,1.886,1.896
AFG,7.466,7.485,5.977,4.633,4.473
AGO,7.272,6.639,6.194,5.6,5.519
ALB,2.978,2.157,1.66,1.638,1.617
AND,,,1.27,,
ARB,5.186831545,3.845712512,3.47038388,3.27655324,3.231091156
ARE,4.454,2.644,1.819,1.448,1.413
ARG,2.997,2.542,2.346,2.275,2.261
ARM,2.544,1.648,1.722,1.75,1.755
ASM,,,,,
ATG,2.067,2.2,1.988,1.999,1.994
AUS,1.902,1.756,1.928,1.741,1.74
AUT,1.46,1.36,1.44,1.52,1.47
AZE,2.74,2,1.92,1.75,1.73
BDI,7.405,6.92,6.179,5.502,5.41
BEL,1.62,1.67,1.86,1.65,1.62
BEN,6.744,5.962,5.362,4.906,4.836
BFA,7.007,6.592,5.867,5.271,5.189
BGD,4.495,3.169,2.324,2.062,2.036
BGR,1.82,1.26,1.57,1.56,1.56
BHR,3.732,2.795,2.164,2.01,1.987
BHS,2.64,2.073,1.865,1.762,1.752
BIH,1.772,1.497,1.315,1.276,1.265
BLR,1.913,1.317,1.494,1.541,1.448
BLZ,4.508,3.601,2.69,2.346,2.307
BMU,,1.74,1.76,1.6,1.6
BOL,4.89,4.051,3.213,2.777,2.73
BRA,2.902,2.3,1.796,1.739,1.73
BRB,1.74,1.775,1.687,1.615,1.619
BRN,3.29,2.346,1.937,1.881,1.848
BTN,5.493,3.515,2.301,1.994,1.975
BWA,4.485,3.304,3.022,2.91,2.874
CAF,5.811,5.5,5.215,4.796,4.721
CAN,1.83,1.488,1.6269,1.4961,1.4988
CEB,1.931081933,1.317743134,1.465227979,1.567828347,1.574420184
CHE,1.58,1.5,1.52,1.52,1.52
CHI,1.483,1.526,1.585,1.516,1.51
CHL,2.579,2.055,1.884,1.678,1.649
CHN,2.309,1.596,1.627,1.683,1.69
CIV,6.622,5.87,5.088,4.704,4.649
CMR,6.436,5.58,5.111,4.639,4.572
COD,6.746,6.751,6.544,6.017,5.919
COG,5.119,4.871,4.765,4.482,4.428
COL,3.082,2.572,1.992,1.825,1.807
COM,6.412,5.384,4.754,4.275,4.205
CPV,5.392,3.539,2.581,2.309,2.274
CRI,3.264,2.363,1.885,1.772,1.754
CSS,2.865766722,2.438238723,2.153183923,2.010752938,1.995133741
CUB,1.714,1.603,1.647,1.637,1.618
CUW,,,2.2,1.5,1.7
CYM,,,,,
CYP,2.411,1.716,1.424,1.337,1.329
CZE,1.9,1.15,1.51,1.69,1.71
DEU,1.45,1.38,1.39,1.57,1.57
DJI,6.073,4.484,3.3,2.785,2.728
DMA,,,,,
DNK,1.67,1.77,1.87,1.75,1.73
DOM,3.411,2.839,2.503,2.367,2.346
DZA,4.726,2.514,2.86,3.045,3.023
EAP,2.587220263,1.896443691,1.869019897,1.876524029,1.876543583
EAR,4.225143777,3.342781763,2.772057016,2.51291866,2.485789976
EAS,2.471901236,1.850592774,1.819649139,1.825949415,1.823004187
ECA,2.375733328,1.661535099,1.865117946,1.903463298,1.884797598
ECS,1.957552364,1.556623551,1.728535882,1.729742463,1.710740155
ECU,3.744,3.102,2.615,2.451,2.427
EGY,4.58,3.34,3.233,3.37,3.326
EMU,1.534250671,1.47089341,1.580367667,1.545476583,1.525662702
ERI,6.496,5.321,4.571,4.112,4.056
ESP,1.36,1.22,1.37,1.31,1.26
EST,2.05,1.36,1.72,1.59,1.67
ETH,7.246,6.543,5.136,4.35,4.247
EUU,1.634803054,1.441287139,1.567309708,1.557485359,1.543444776
FCS,5.92577133,5.38951105,4.972695824,4.583596434,4.526274789
FIN,1.78,1.73,1.87,1.49,1.41
FJI,3.398,3.09,2.752,2.788,2.774
FRA,1.77,1.89,2.03,1.9,1.88
FRO,2.8,2.6,2.5,2.5,2.5
FSM,4.958,4.3,3.46,3.098,3.053
GAB,5.442,4.533,4.146,4.008,3.969
GBR,1.83,1.64,1.92,1.74,1.68
GEO,2.18,1.608,1.911,2.062,2.06
GHA,5.602,4.826,4.273,3.926,3.87
GIB,,,,,
GIN,6.598,6.082,5.336,4.777,4.7
GMB,6.096,5.879,5.583,5.281,5.219
GNB,6.627,5.82,5.049,4.553,4.476
GNQ,5.987,5.834,5.209,4.599,4.513
GRC,1.39,1.25,1.48,1.35,1.35
GRD,3.842,2.582,2.24,2.083,2.063
GRL,2.444,2.329,2.195,2.09,2
GTM,5.437,4.598,3.375,2.92,2.87
GUM,3.013,2.824,2.488,2.334,2.313
GUY,3.069,3.017,2.655,2.485,2.462
HIC,1.851917848,1.700960752,1.703017526,1.626503834,1.600311371
HKG,1.272,1.032,1.127,1.125,1.072
HND,5.123,4.237,2.957,2.496,2.46
HPC,6.589262795,6.068086342,5.367059784,4.779579073,4.698652301
HRV,1.63,1.39,1.55,1.42,1.47
HTI,5.43,4.344,3.427,2.986,2.935
HUN,1.87,1.32,1.25,1.54,1.55
IBD,3.076805737,2.357142372,2.155419792,2.077753648,2.067960927
IBT,3.578200301,2.889772358,2.656432172,2.556994841,2.544813434
IDA,5.911590147,5.117750824,4.444687472,4.037495709,3.984088632
IDB,6.01678298,5.179936651,4.549187349,4.175819878,4.121254764
IDN,3.122,2.512,2.483,2.336,2.311
IDX,5.859827682,5.086994053,4.392531598,3.968692136,3.915951954
IMN,,,,,
IND,4.045,3.311,2.581,2.243,2.222
INX,,,,,
IRL,2.11,1.89,2.05,1.77,1.75
IRN,4.691,2.067,1.839,2.116,2.137
IRQ,5.882,4.94,4.343,3.762,3.672
ISL,2.3,2.08,2.2,1.71,1.71
ISR,2.824,2.95,3.03,3.11,3.09
ITA,1.33,1.26,1.46,1.32,1.29
JAM,2.947,2.577,2.173,1.993,1.979
JOR,5.521,4.109,3.631,2.849,2.761
JPN,1.54,1.359,1.39,1.43,1.42
KAZ,2.72,1.8,2.6,2.73,2.84
KEN,6.066,5.178,4.369,3.572,3.492
KGZ,3.63,2.4,3.1,3,3.3
KHM,5.601,3.805,2.875,2.53,2.503
KIR,4.688,4.058,3.843,3.61,3.569
KNA,,,,,
KOR,1.57,1.467,1.226,1.052,0.977
KWT,2.967,2.845,2.234,2.083,2.082
LAC,3.29980119,2.654320816,2.197899123,2.059922029,2.041408235
LAO,6.151,4.311,3.143,2.709,2.667
LBN,3.372,2.405,1.966,2.097,2.087
LBR,6.499,5.866,4.971,4.387,4.315
LBY,4.966,2.851,2.478,2.277,2.24
LCA,3.399,2.202,1.538,1.448,1.436
LCN,3.257018168,2.626889924,2.185701687,2.046013077,2.027390933
LDC,5.943485052,5.203247017,4.504538473,4.057551578,4.000147625
LIC,6.437938752,5.964519713,5.24647109,4.682660017,4.604303253
LIE,,1.57,1.4,1.44,1.58
LKA,2.483,2.24,2.248,2.206,2.199
LMC,4.42295802,3.596796332,3.050075218,2.790956835,2.765030506
LMY,3.597353217,2.907509378,2.667497449,2.565940215,2.553527459
LSO,4.721,3.792,3.302,3.171,3.141
LTE,2.427033305,1.721373758,1.707331084,1.741245482,1.742051228
LTU,2.03,1.39,1.5,1.63,1.63
LUX,1.6,1.76,1.63,1.39,1.38
LVA,2.02,1.25,1.36,1.69,1.6
MAC,1.722,0.95,1.093,1.211,1.217
MAF,2.12,1.83,1.82,1.81,1.81
MAR,4.047,2.771,2.567,2.451,2.415
MCO,,,,,
MDA,2.414,1.435,1.275,1.259,1.262
MDG,6.179,5.551,4.603,4.13,4.077
MDV,6.003,2.771,2.206,1.906,1.87
MEA,4.877631573,3.193506238,2.896203225,2.839241745,2.808947919
MEX,3.47,2.716,2.34,2.157,2.129
MHL,,,,,
MIC,3.397635738,2.675060433,2.436981484,2.345984255,2.335177745
MKD,2.206,1.723,1.468,1.501,1.496
MLI,7.165,6.897,6.547,5.968,5.877
MLT,2.02,1.68,1.36,1.26,1.23
MMR,3.447,2.878,2.359,2.168,2.154
MNA,4.874590831,3.153754033,2.918526888,2.916070978,2.887164848
MNE,2.078,1.875,1.76,1.738,1.745
MNG,4.052,2.141,2.637,2.914,2.895
MNP,,,,,
MOZ,6.211,5.826,5.392,4.922,4.852
MRT,5.881,5.413,4.98,4.619,4.561
MUS,2.32,1.99,1.57,1.44,1.41
MWI,6.872,6.098,5.332,4.302,4.209
MYS,3.554,2.784,2.149,2.019,2.001
NAC,2.055205556,1.998927144,1.900118856,1.73824474,1.706032485
NAM,5.219,3.88,3.631,3.447,3.396
NCL,3.18,2.59,2.2,1.97,1.97
NER,7.772,7.679,7.473,7.001,6.913
NGA,6.49,6.106,5.839,5.457,5.387
NIC,4.596,3.111,2.601,2.43,2.404
NLD,1.62,1.72,1.79,1.62,1.59
NOR,1.93,1.85,1.95,1.62,1.56
NPL,5.172,3.955,2.542,1.967,1.917
NRU,,,,,
NZL,2.18,1.98,2.17,1.81,1.71
OED,2.010222538,1.83089741,1.795166523,1.711066181,1.686758172
OMN,7.165,3.716,2.873,2.92,2.888
OSS,4.39048828,3.638493554,3.25373479,3.077738168,3.049681139
PAK,6.164,5.037,3.951,3.562,3.51
PAN,3.057,2.744,2.622,2.487,2.461
PER,3.912,2.845,2.546,2.275,2.254
PHL,4.32,3.811,3.18,2.64,2.576
PLW,2.84,1.83,,,
PNG,4.802,4.525,3.985,3.61,3.564
POL,2.06,1.37,1.41,1.48,1.46
PRE,6.573277707,6.10633073,5.590877951,5.02079551,4.939726585
PRI,2.219,2.0485,1.6235,1.101,1.035
PRK,2.289,1.991,1.938,1.911,1.904
PRT,1.56,1.55,1.39,1.38,1.42
PRY,4.547,3.553,2.73,2.453,2.429
PSE,6.718,5.383,4.437,3.738,3.643
PSS,4.36023921,3.861960377,3.57127725,3.538089372,3.515227837
PST,1.749054235,1.614607092,1.661632491,1.581153612,1.551680118
PYF,3.401,2.463,2.095,1.956,1.941
QAT,4.013,3.236,2.07,1.886,1.866
ROU,1.83,1.31,1.59,1.71,1.76
RUS,1.892,1.195,1.567,1.62,1.57
RWA,7.184,5.64,4.52,4.088,4.044
SAS,4.29989729,3.507214774,2.745884201,2.410617478,2.384749671
SAU,5.911,3.971,2.97,2.373,2.319
SDN,6.152,5.471,4.876,4.469,4.407
SEN,6.448,5.448,5.064,4.697,4.625
SGP,1.83,1.6,1.15,1.16,1.14
SLB,5.851,4.719,4.403,4.434,4.403
SLE,6.721,6.319,5.202,4.359,4.263
SLV,3.964,3.022,2.265,2.059,2.039
SMR,,,,,
SOM,7.398,7.627,6.865,6.168,6.072
SRB,,1.48,1.4,1.49,1.49
SSA,6.358199968,5.764086579,5.264384139,4.769689217,4.697543181
SSD,6.761,6.223,5.376,4.775,4.696
SSF,6.347730005,5.755293112,5.257986594,4.765199664,4.693243438
SST,4.007698392,3.374665614,3.042584514,2.896971389,2.87400251
STP,5.828,5.176,4.727,4.374,4.321
SUR,3.267,2.895,2.61,2.443,2.418
SVK,2.09,1.3,1.43,1.52,1.54
SVN,1.46,1.26,1.57,1.62,1.6
SWE,2.13,1.54,1.98,1.78,1.76
SWZ,5.106,3.915,3.342,3.018,2.99
SXM,,,,,
SYC,,2.08,2.16,2.41,2.41
SYR,5.309,4.076,3.404,2.847,2.808
TCA,,,,,
TCD,7.313,7.354,6.592,5.846,5.747
TEA,2.591306322,1.895273422,1.868168753,1.876086443,1.876194842
TEC,2.308292151,1.615858819,1.813658488,1.858112059,1.842998582
TGO,6.185,5.419,4.868,4.384,4.32
THA,2.113,1.671,1.542,1.532,1.525
TJK,5.225,3.967,3.599,3.606,3.585
TKM,4.344,2.824,2.833,2.836,2.786
TLA,3.310471529,2.655332971,2.199936942,2.057453581,2.038492594
TLS,5.478,6.113,4.805,4.093,4.023
TMN,4.858933873,3.133569292,2.903014667,2.906745122,2.878447265
TON,4.644,4.25,3.913,3.595,3.556
TSA,4.29989729,3.507214774,2.745884201,2.410617478,2.384749671
TSS,6.347730005,5.755293112,5.257986594,4.765199664,4.693243438
TTO,2.453,1.753,1.806,1.739,1.725
TUN,3.476,2.142,2.14,2.219,2.197
TUR,3.107,2.503,2.151,2.081,2.069
TUV,,,,,
TZA,6.213,5.689,5.427,4.953,4.892
UGA,7.091,6.866,6.111,5.095,4.955
UKR,1.844,1.11,1.443,1.374,1.301
UMC,2.648603012,1.943725369,1.891963176,1.901411813,1.897418878
URY,2.52,2.237,2.011,1.983,1.973
USA,2.081,2.056,1.931,1.7655,1.7295
UZB,4.072,2.58,2.342,2.419,2.419
VCT,2.956,2.379,2.07,1.911,1.891
VEN,3.448,2.822,2.471,2.294,2.272
VGB,,,,,
VIR,2.954,2.06,2.3,2.08,2.06
VNM,3.553,2.01,1.938,2.042,2.049
VUT,4.926,4.492,4.1,3.82,3.782
WLD,3.248472332,2.696002898,2.516362717,2.428138365,2.414974733
WSM,5.118,4.503,4.338,3.926,3.877
XKX,3.9,2.95,2.29,2.02,2
YEM,8.606,6.313,4.674,3.89,3.792
ZAF,3.964,2.694,2.598,2.43,2.405
ZMB,6.442,6.036,5.415,4.718,4.633
ZWE,4.862,3.748,4.034,3.707,3.615